City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Victoria,HK,75.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
1,Atuona,PF,77.5,light rain,-9.8,-139.0333,Villa Enata
2,Bireun,ID,77.29,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
4,Bengkulu,ID,74.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
5,Harper,LR,77.85,overcast clouds,4.375,-7.7169,Screensaver
10,Mahebourg,MU,70.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
11,Timbiqui,CO,75.87,light rain,2.7717,-77.6654,hotel diana
13,Mataura,NZ,66.04,overcast clouds,-46.1927,168.8643,Ellie's Villa
17,Rikitea,PF,75.31,broken clouds,-23.1203,-134.9692,People ThankYou
28,Dwarka,IN,77.59,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
32,Diamantino,BR,75.6,overcast clouds,-14.4086,-56.4461,Hotel Delta
34,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
40,Port Alfred,ZA,63.16,scattered clouds,-33.5906,26.891,The Halyards Hotel
41,Pathein,MM,73.31,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
42,Bethel,US,68.0,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
54,Saldanha,ZA,62.06,broken clouds,-33.0117,17.9442,Blue Bay Lodge
55,Diplo,PK,77.38,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
60,Christchurch,NZ,69.03,overcast clouds,-43.5333,172.6333,The George
64,Cape Town,ZA,63.09,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
66,Adoni,IN,69.57,clear sky,15.6333,77.2833,Bheemas Regency
68,Chuy,UY,62.92,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
72,Syracuse,IT,66.25,light rain,37.0881,15.2792,Hotel Posta
74,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
78,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
87,Messina,IT,64.22,broken clouds,38.1933,15.5497,Hotel Touring
88,Airai,TL,67.06,broken clouds,-8.9266,125.4092,Juvinal Martin
89,San Quintin,MX,67.3,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
94,Nizwa,OM,77.31,clear sky,22.9333,57.5333,Orient Apartments
95,Zhuhai,CN,75.06,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
97,Cidreira,BR,65.43,clear sky,-30.1811,-50.2056,Hotel Castelo
98,Robertsport,LR,79.07,moderate rain,6.7533,-11.3686,Kwepunha Retreat
99,Ulladulla,AU,64.76,clear sky,-35.35,150.4667,Sandpiper Motel
100,Kansanshi,ZM,65.07,overcast clouds,-12.0951,26.4273,
104,Hue,VN,71.71,mist,16.4667,107.6,Saigon Morin Hotel
105,Morro Bay,US,65.5,few clouds,35.3658,-120.8499,Inn at Morro Bay
106,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
110,Vao,NC,72.45,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
113,Inhambane,MZ,72.07,scattered clouds,-23.865,35.3833,Oceano
118,Gondanglegi,ID,77.72,broken clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
120,Lumphat,KH,69.22,moderate rain,13.4878,106.9816,Lumphat Homestay
121,Souillac,MU,70.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
125,Jijiga,ET,65.43,few clouds,9.35,42.8,RAMAAS HOTEL
126,Hermanus,ZA,61.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
127,Guerrero Negro,MX,70.02,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
128,Antalaha,MG,71.4,few clouds,-14.9003,50.2788,Hotel Vitasoa
132,Arraial Do Cabo,BR,69.82,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
133,Manjeshwar,IN,76.15,broken clouds,12.7194,74.8861,SOOFINAGAR
134,Chanute,US,60.08,clear sky,37.6792,-95.4572,Guest House Motel Chanute
136,Fredericksburg,US,68.61,overcast clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
137,El Real De Santa Maria,PA,76.51,overcast clouds,8.109,-77.7325,
138,Port Elizabeth,ZA,64.09,clear sky,-33.918,25.5701,39 On Nile Guest House
141,Tolga,DZ,70.61,scattered clouds,34.7222,5.3785,سجن طولقة
143,Puerto Ayora,EC,68.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
145,East London,ZA,64.26,light rain,-33.0153,27.9116,Tu Casa
147,Misratah,LY,72.28,clear sky,32.3754,15.0925,فندق الماسة
148,Porto Walter,BR,72.43,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
150,Poum,NC,76.48,few clouds,-20.2333,164.0167,Gîte kajeon
154,North Myrtle Beach,US,73.69,few clouds,33.816,-78.68,Avista Resort
157,Faanui,PF,75.13,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
158,Shimoda,JP,60.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
160,Nerja,ES,67.23,overcast clouds,36.7585,-3.8873,Toboso apar-turis
161,Ponta Delgada,PT,68.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
162,Karema,TZ,77.29,overcast clouds,-6.8205,30.4389,
164,Eatonton,US,75.38,broken clouds,33.3268,-83.3885,Western Motel of Eatonton
165,Moyo,UG,66.11,light rain,3.6609,31.7247,Amelia Guest House
166,Nicoya,CR,78.35,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
175,Ndele,CF,74.5,overcast clouds,8.4109,20.6473,
180,Karratha,AU,76.17,clear sky,-20.7377,116.8463,ibis Styles Karratha
183,Quatre Cocos,MU,71.71,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
187,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
190,Feijo,BR,71.31,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
191,Ilhabela,BR,68.07,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
197,Fortuna,US,61.93,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
199,Lithakia,GR,61.59,overcast clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
201,Asyut,EG,68.94,clear sky,27.181,31.1837,Florence Hotel Assiut
202,Ca Mau,VN,76.06,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
204,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
207,Takoradi,GH,77.65,light rain,4.8845,-1.7554,Raybow International Hotel
209,Lazaro Cardenas,MX,76.48,overcast clouds,17.9583,-102.2,quinta antigua
220,Canico,PT,70.43,broken clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
221,Shenjiamen,CN,64.49,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
225,Ribeira Grande,PT,68.38,broken clouds,38.5167,-28.7,Quinta da Meia Eira
229,Ponta Do Sol,PT,70.43,scattered clouds,32.6667,-17.1,Hotel do Campo
232,Caravelas,BR,75.06,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
233,Bangassou,CF,71.51,broken clouds,4.7413,22.8184,
238,Kasongo-Lunda,CD,69.19,overcast clouds,-6.4667,16.8167,
240,Nokaneng,BW,76.46,overcast clouds,-19.6667,22.2667,
241,Najran,SA,63.25,few clouds,17.4924,44.1277,محمد هادي ال فطيح
248,Vieste,IT,62.26,overcast clouds,41.8825,16.175,Hotel Falcone
249,Mayo,US,68.02,light rain,38.8876,-76.5119,Resorts Resource Group International
250,Te Anau,NZ,61.9,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
251,Taltal,CL,60.48,few clouds,-25.4,-70.4833,Residencial Karime
254,La Asuncion,VE,79.52,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
255,Surt,LY,72.28,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
256,Port Lincoln,AU,66.88,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
260,Ishigaki,JP,75.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
261,Pontianak,ID,78.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
262,Biak,ID,79.14,overcast clouds,-0.9131,122.8766,Penginapan Kim
263,Kanniyakumari,IN,79.59,overcast clouds,8.0833,77.5667,Sparsa
264,Dingle,PH,78.13,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
265,Pisco,PE,63.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
266,Richmond,US,69.42,broken clouds,37.5538,-77.4603,The Jefferson Hotel
267,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
268,Contai,IN,72.64,clear sky,21.7786,87.7536,PATHFINDER
269,Cap Malheureux,MU,72.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
270,Sao Filipe,CV,78.94,scattered clouds,14.8961,-24.4956,Hotel Xaguate
272,Balikpapan,ID,76.15,broken clouds,-1.2675,116.8289,ibis Balikpapan
273,San Jose,US,65.48,broken clouds,37.3394,-121.895,The Westin San Jose
275,Katobu,ID,79.66,overcast clouds,-4.9408,122.5276,La Ode Husein
277,Hambantota,LK,78.58,heavy intensity rain,6.1241,81.1185,Bungalow 63
278,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
279,Altagracia De Orituco,VE,72.91,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
281,Bac Lieu,VN,77.31,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
282,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
283,Mana,GF,77.94,moderate rain,5.6592,-53.7767,LE SAMANA
286,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
288,Ahipara,NZ,68.5,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
289,Kiama,AU,69.01,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
290,Sayville,US,69.75,broken clouds,40.7359,-73.0821,La Quinta Inn & Suites by Wyndham Islip - MacArthur Airport
292,Wodonga,AU,61.05,clear sky,-36.1167,146.8833,The Hume Inn Motel
294,Menongue,AO,69.21,overcast clouds,-14.6585,17.691,Ritz Lauca
298,Winslow,US,75.38,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
299,Cayenne,GF,77.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
301,Asfi,MA,67.23,broken clouds,32.2994,-9.2372,Hôtel Abda
306,Barranca,PE,63.41,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
308,Vicuna,CL,74.77,clear sky,-30.0319,-70.7081,Los Mosaicos
311,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
312,Damietta,EG,70.59,clear sky,31.4165,31.8133,SULIMAN INN
315,Vila Franca Do Campo,PT,68.41,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
316,Mastic Beach,US,68.41,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
318,Carnarvon,AU,66.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
319,Pacific Grove,US,65.44,clear sky,36.6177,-121.9166,Lovers Point Inn
320,Lompoc,US,66.25,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
327,Luanda,AO,75.67,overcast clouds,-8.8368,13.2343,Hotel Fórum
328,Mecca,SA,79.02,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
332,Villamontes,BO,74.93,clear sky,-21.25,-63.5,Hotel Raldes
333,Nouadhibou,MR,69.91,overcast clouds,20.931,-17.0347,El Medina
334,Matay,EG,68.5,clear sky,28.419,30.7792,Nag Aespen
337,Aswan,EG,73.62,clear sky,24.0934,32.907,Nuba Nile
338,Nishihara,JP,72.68,few clouds,26.1842,127.7558,Minshuku Agaihama
345,Ramnagar,IN,61.72,clear sky,29.4,79.1167,Leisure Vacation Myrica Hotel
349,Namibe,AO,63.05,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
350,Marzuq,YE,70.25,few clouds,14.4,46.4667,
351,Salinas,US,65.86,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
355,Sao Joao Da Barra,BR,71.28,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
356,Bonthe,SL,78.6,light rain,7.5264,-12.505,Bonthe Holiday Village
358,Canutama,BR,75.34,light rain,-6.5339,-64.3831,Hotel Jhennifer
359,Alta Floresta,BR,74.77,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
361,Sal Rei,CV,77.56,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
362,Yambio,SS,65.01,overcast clouds,4.5721,28.3955,Naivasha Hotel
366,Ngemplak,ID,75.04,broken clouds,-7.5497,110.7164,Hotel Pramesthi
369,Waiouru,NZ,64.83,broken clouds,-39.4833,175.6667,Tāwhiri
372,Chimbote,PE,64.09,scattered clouds,-9.0853,-78.5783,Hotel Viera Chimbote
374,Weligama,LK,77.65,moderate rain,5.9667,80.4167,Weligama Bay Resort
378,Laguna,US,67.05,few clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
379,Mugumu,TZ,65.01,overcast clouds,-1.85,34.7,Lemala Mara
381,Umrala,IN,77.95,scattered clouds,21.8333,71.8167,Gopalwadi Balmndir
382,Broome,US,65.35,few clouds,42.2506,-75.833,Chenango Valley State Park
383,Mumford,GH,78.46,moderate rain,5.2618,-0.759,Spanish Villa
386,Hervey Bay,AU,77.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
388,Axim,GH,78.19,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
389,Baragua,CU,79.27,overcast clouds,21.6967,-78.6328,Hotel Itabo
391,La Palma,US,63.03,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
392,Broken Hill,AU,65.97,clear sky,-31.95,141.4333,Royal Exchange Hotel
396,Muisne,EC,76.17,overcast clouds,0.6,-80.0333,Quinta Samay
397,Huarmey,PE,65.84,clear sky,-10.0681,-78.1522,Hotel Miramar
398,Lethem,GY,79.0,overcast clouds,3.3803,-59.7968,Savannah Inn
399,Westport,US,73.17,overcast clouds,41.1415,-73.3579,The Westport Inn
400,Beloha,MG,71.4,few clouds,-25.1667,45.05,
407,Muros,ES,60.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
411,Mindelo,CV,78.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
413,Nelson Bay,AU,69.96,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
414,Bayog,PH,78.51,broken clouds,7.8667,123.0667,JMG Traveller's Inn
416,Camana,PE,63.68,scattered clouds,-16.6228,-72.7111,Hostal Morales
421,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
424,Hashimoto,JP,62.51,broken clouds,34.3167,135.6167,Natural hot spring Yunosato
427,Jian,CN,61.02,light rain,27.1172,114.9793,Luling International Hotel
429,Ambilobe,MG,74.01,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
430,Bosaso,SO,78.71,broken clouds,11.2842,49.1816,Red Sea Hotel
434,Palaikastron,GR,64.74,overcast clouds,35.2,26.25,Marina Village
438,Xapuri,BR,75.85,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
439,Moree,AU,75.22,clear sky,-29.4667,149.85,Molika Springs Motel
441,Puerto Parra,CO,79.23,few clouds,6.6515,-74.0573,Casa Hotel Villa Johana
442,Waw,SS,76.46,broken clouds,7.7029,27.9953,Universal Gab Hotel
443,Qui Nhon,VN,75.99,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
445,Kaohsiung,TW,78.1,few clouds,22.6163,120.3133,御宿商旅-中山館
446,Sajanan,TN,64.67,overcast clouds,37.0573,9.2426,Centre de culture du tabac sejenene
447,Gambela,ET,75.0,broken clouds,8.25,34.5833,Solomon Debebe Hotel
451,Praia Da Vitoria,PT,68.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
458,Sakakah,SA,68.14,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
460,Maneadero,MX,68.18,few clouds,31.7167,-116.5667,Casa De Thompson
461,Constitucion,CL,60.04,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
467,Santo Nino,PH,74.91,overcast clouds,6.435,124.6975,The Signature Place
468,Matara,LK,77.18,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
470,America Dourada,BR,74.44,broken clouds,-11.4553,-41.4361,Pousada do Ninho
472,Mattru,SL,74.25,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
475,Kensington,AU,69.96,scattered clouds,-33.9167,151.2167,Meriton Suites Zetland
477,Casper,US,69.01,clear sky,42.8666,-106.3131,Ramkota Hotel
478,Viedma,AR,60.89,broken clouds,-40.8135,-62.9967,Hotel Cristal
482,Augusto Correa,BR,79.54,broken clouds,-1.0217,-46.635,Fazenda Bacuri
486,Fatehpur,IN,71.58,few clouds,25.9333,80.8,Hotel Bombay Lodge
488,Talara,PE,66.96,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
490,Avera,US,76.71,broken clouds,33.194,-82.5271,
492,Sai Buri,TH,76.51,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
494,Le Moule,GP,78.84,clear sky,16.3332,-61.3473,Lakaz Hananou
499,Lahat,ID,71.96,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
500,Port Macquarie,AU,72.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
505,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
508,Manakara,MG,70.5,clear sky,-22.1333,48.0167,La Residence Manakara
510,Tias,ES,67.75,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
518,Kitui,KE,66.04,scattered clouds,-1.367,38.0106,Heritage Bliss Hotel
519,Glenwood Springs,US,78.6,scattered clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
521,Port Shepstone,ZA,64.08,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
525,Nyimba,ZM,78.49,clear sky,-14.5566,30.8149,Dali Dali Lodge
527,Flinders,AU,68.81,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
530,Rangpo,IN,60.94,clear sky,27.1833,88.5333,Hotel Darpad
532,Upington,ZA,64.78,clear sky,-28.4478,21.2561,River Place Manor
536,Nijar,ES,61.65,clear sky,36.9665,-2.206,La Casa del Cine
538,Tahta,EG,69.42,clear sky,26.7693,31.5021,مصطفي عساف
539,Lagoa,PT,67.33,clear sky,39.05,-27.9833,Casa Das Faias
545,Mbaiki,CF,70.23,broken clouds,3.8678,17.9892,Motel MBM
548,Port-Gentil,GA,75.6,moderate rain,-0.7193,8.7815,Fengshui Residence
550,Saint-Pierre,RE,71.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
553,Monte Alegre De Sergipe,BR,74.91,clear sky,-10.0272,-37.5622,Pousada Sebastiana
555,Virginia Beach,US,71.02,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
559,Azul,AR,64.74,broken clouds,-36.777,-59.8585,Cabañas Dulcinea
560,Touho,NC,75.09,few clouds,-20.7833,165.2333,Auberge Timay Evasion
561,Seoni Malwa,IN,66.97,clear sky,22.45,77.4667,hotel naman residency
563,Nalut,LY,64.87,clear sky,30.3333,10.85,
564,Samaro,PK,76.44,clear sky,25.2815,69.3965,Rano Mal gold simth
566,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
567,Giddalur,IN,70.5,scattered clouds,15.35,78.9167,Shivaji Lodge
568,Kaeo,NZ,69.51,scattered clouds,-35.1,173.7833,Bushido Lodge
569,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
570,Jieshi,CN,70.95,overcast clouds,22.8134,115.8257,Yuehai Hotel
571,Alipur,PK,67.95,clear sky,29.3846,70.9116,"Green City Executive 1 Alipur, Muzaffargarh"
572,Mehran,IR,68.74,clear sky,33.1222,46.1646,بوتیک زنانه بهار
573,Cascas,PE,71.38,overcast clouds,-7.4833,-78.8167,Hotel *ROSA ERMILA*
580,Trelew,AR,66.02,overcast clouds,-43.249,-65.3051,Hotel Touring Club
590,Rawson,AR,64.26,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
591,Tshikapa,CD,70.56,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
595,Saurimo,AO,64.02,scattered clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
597,Baghdad,IQ,60.71,clear sky,33.3406,44.4009,Baghdad Hotel
602,Hualmay,PE,64.15,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
603,Meulaboh,ID,74.66,overcast clouds,4.1363,96.1285,Kost Pria
608,Byron Bay,AU,74.71,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
609,Kilindoni,TZ,78.69,broken clouds,-7.9139,39.6668,Bustani B&B
615,Wamba,NG,76.28,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
617,Martapura,ID,75.29,fog,-3.4167,114.85,Montana Hotel Syariah
618,Richards Bay,ZA,63.32,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
619,Toppenish,US,61.86,broken clouds,46.3774,-120.3087,Quality Inn & Suites Toppenish - Yakima Valley
624,Victor Harbor,AU,72.72,few clouds,-35.5667,138.6167,McCracken Country Club
625,Wilmington,US,71.85,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
628,Safaga,EG,75.06,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
635,Bukama,CD,69.17,overcast clouds,-9.2,25.85,
637,Marang,MY,76.91,broken clouds,5.2056,103.2059,DBarakah Homestay
640,Maturin,VE,73.69,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
644,Garowe,SO,72.39,broken clouds,8.4054,48.4845,Curubo Hotel
649,Narasannapeta,IN,71.74,clear sky,18.4167,84.05,G.lingaraju home
651,Sabinopolis,BR,68.67,overcast clouds,-18.6661,-43.0839,Hotel Pousada Jesus
653,Phuntsholing,BT,65.64,clear sky,26.8516,89.3884,Hotel White House
654,Nioro,GM,79.56,overcast clouds,13.35,-15.75,
658,Muncar,ID,77.88,scattered clouds,-8.4333,114.3333,Zaky Homestay
659,Lima,PE,66.9,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
662,Mercedes,AR,76.17,few clouds,-34.6515,-59.4307,Posada del Inti Centro
664,Boende,CD,71.76,broken clouds,-0.2167,20.8667,
666,Rio Grande,BR,73.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
670,Bardiyah,LY,70.0,broken clouds,31.7561,25.0865,بورتو بردية
671,Kalmunai,LK,78.1,moderate rain,7.4167,81.8167,VS Villa
673,Talcahuano,CL,60.48,clear sky,-36.7167,-73.1167,departamento comodo
675,Naze,JP,70.72,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
678,Yarada,IN,77.32,mist,17.65,83.2667,Vishranti
679,Iracoubo,GF,77.36,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
680,Gualeguaychu,AR,76.89,clear sky,-33.0094,-58.5172,Hotel Los Angeles
682,Quijingue,BR,78.06,broken clouds,-10.7525,-39.2092,Pousada Sabor Da Terra
683,Waipawa,NZ,63.3,few clouds,-41.4122,175.5153,Tora Coastal Walk
684,Fuzhou,CN,66.09,overcast clouds,26.0614,119.3061,Shangri La Hotel Fuzhou
