City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Victoria,HK,22.2855,114.1577,75.33,76,99,1.01,overcast clouds,2021-10-25 23:16:05
1,Atuona,PF,-9.8,-139.0333,77.5,75,25,16.04,light rain,2021-10-25 23:10:59
2,Bireun,ID,5.203,96.7009,77.29,83,85,2.84,overcast clouds,2021-10-25 23:16:31
3,Auki,SB,-8.7676,160.7034,85.84,63,47,4.45,moderate rain,2021-10-25 23:16:31
4,Bengkulu,ID,-3.8004,102.2655,74.34,89,100,3.04,overcast clouds,2021-10-25 23:11:39
5,Harper,LR,4.375,-7.7169,77.85,80,100,9.04,overcast clouds,2021-10-25 23:15:51
6,Hilo,US,19.7297,-155.09,89.28,73,40,12.66,scattered clouds,2021-10-25 23:11:05
7,San Patricio,US,28.017,-97.5169,88.52,63,94,12.3,overcast clouds,2021-10-25 23:16:29
8,Ushuaia,AR,-54.8,-68.3,33.21,86,64,3.69,broken clouds,2021-10-25 23:08:13
9,Georgetown,MY,5.4112,100.3354,80.53,88,20,2.3,few clouds,2021-10-25 23:08:27
10,Mahebourg,MU,-20.4081,57.7,70.25,72,19,17.36,few clouds,2021-10-25 23:10:49
11,Timbiqui,CO,2.7717,-77.6654,75.87,92,91,3.36,light rain,2021-10-25 23:15:23
12,Iqaluit,CA,63.7506,-68.5145,31.69,83,62,5.99,broken clouds,2021-10-25 23:06:20
13,Mataura,NZ,-46.1927,168.8643,66.04,64,88,1.3,overcast clouds,2021-10-25 23:10:36
14,Punta Arenas,CL,-53.15,-70.9167,41.11,70,40,9.22,scattered clouds,2021-10-25 23:06:35
15,Arbazh,RU,57.6804,48.3065,30.74,80,100,11.92,snow,2021-10-25 23:16:33
16,Geraldton,AU,-28.7667,114.6,54.12,94,75,6.91,broken clouds,2021-10-25 23:11:20
17,Rikitea,PF,-23.1203,-134.9692,75.31,72,78,20.11,broken clouds,2021-10-25 23:10:37
18,Ixtapa,MX,20.7,-105.2,85.23,74,75,6.91,broken clouds,2021-10-25 23:06:28
19,Albany,US,42.6001,-73.9662,59.16,91,100,3.49,overcast clouds,2021-10-25 23:05:47
20,Makakilo City,US,21.3469,-158.0858,84.52,54,75,9.22,broken clouds,2021-10-25 23:16:34
21,Saint-Georges,GD,12.0564,-61.7485,80.89,78,70,19.71,broken clouds,2021-10-25 23:08:39
22,Tiksi,RU,71.6872,128.8694,2.01,96,98,4.85,overcast clouds,2021-10-25 23:10:59
23,Vaini,TO,-21.2,-175.2,80.76,74,20,11.5,few clouds,2021-10-25 23:11:05
24,Yar-Sale,RU,66.8333,70.8333,18.1,92,91,4.36,overcast clouds,2021-10-25 23:16:04
25,Leningradskiy,RU,69.3833,178.4167,9.05,94,100,16.02,overcast clouds,2021-10-25 23:11:21
26,Goderich,CA,43.7501,-81.7165,43.92,89,100,23.38,overcast clouds,2021-10-25 23:13:51
27,Narsaq,GL,60.9167,-46.05,39.42,46,23,7.92,few clouds,2021-10-25 23:12:28
28,Dwarka,IN,22.2394,68.9678,77.59,59,0,8.3,clear sky,2021-10-25 23:16:36
29,Upernavik,GL,72.7868,-56.1549,15.26,60,13,5.82,few clouds,2021-10-25 23:10:54
30,Barrow,US,71.2906,-156.7887,26.62,86,90,14.97,mist,2021-10-25 23:11:41
31,Bluff,NZ,-46.6,168.3333,54.72,86,76,7.34,broken clouds,2021-10-25 23:10:33
32,Diamantino,BR,-14.4086,-56.4461,75.6,76,100,1.81,overcast clouds,2021-10-25 23:16:37
33,Dali,CN,25.7,100.1833,51.89,94,15,3.58,few clouds,2021-10-25 23:11:29
34,Bambous Virieux,MU,-20.3428,57.7575,70.21,72,20,17.0,few clouds,2021-10-25 23:11:33
35,Lebu,CL,-37.6167,-73.65,53.37,90,6,12.53,clear sky,2021-10-25 23:11:21
36,Dikson,RU,73.5069,80.5464,13.8,83,100,16.49,overcast clouds,2021-10-25 23:10:41
37,Qaanaaq,GL,77.484,-69.3632,3.11,60,62,14.47,broken clouds,2021-10-25 23:10:57
38,Tarko-Sale,RU,64.9225,77.785,22.59,89,93,8.16,overcast clouds,2021-10-25 23:16:38
39,The Valley,AI,18.217,-63.0578,82.54,74,20,11.5,few clouds,2021-10-25 23:15:53
40,Port Alfred,ZA,-33.5906,26.891,63.16,82,25,13.31,scattered clouds,2021-10-25 23:10:39
41,Pathein,MM,16.7833,94.7333,73.31,95,41,3.94,scattered clouds,2021-10-25 23:15:34
42,Bethel,US,41.3712,-73.414,68.0,87,90,4.61,overcast clouds,2021-10-25 23:12:32
43,Luderitz,NA,-26.6481,15.1594,57.0,90,3,5.66,clear sky,2021-10-25 23:16:39
44,Saint-Francois,FR,46.4154,3.9054,50.68,100,90,0.0,overcast clouds,2021-10-25 23:16:40
45,Port Blair,IN,11.6667,92.75,80.19,82,93,7.11,overcast clouds,2021-10-25 23:10:19
46,Hobart,AU,-42.8794,147.3294,55.02,62,75,1.99,broken clouds,2021-10-25 23:08:05
47,Seoul,KR,37.5683,126.9778,51.24,93,91,2.3,overcast clouds,2021-10-25 23:16:40
48,Provideniya,RU,64.3833,-173.3,21.31,58,75,6.71,broken clouds,2021-10-25 23:10:52
49,Tuktoyaktuk,CA,69.4541,-133.0374,29.57,97,100,6.87,overcast clouds,2021-10-25 23:10:46
50,Chokurdakh,RU,70.6333,147.9167,-23.4,100,91,1.77,overcast clouds,2021-10-25 23:11:46
51,Busselton,AU,-33.65,115.3333,49.95,78,98,2.19,light rain,2021-10-25 23:06:02
52,Nagua,DO,19.3832,-69.8474,82.45,83,40,0.0,scattered clouds,2021-10-25 23:16:42
53,Asau,RO,46.4333,26.4,33.76,68,0,2.48,clear sky,2021-10-25 23:06:35
54,Saldanha,ZA,-33.0117,17.9442,62.06,71,64,10.76,broken clouds,2021-10-25 23:10:38
55,Diplo,PK,24.4667,69.584,77.38,43,0,7.63,clear sky,2021-10-25 23:16:42
56,Muli,MV,2.9167,73.5667,82.35,77,100,17.74,moderate rain,2021-10-25 23:16:43
57,Atikokan,CA,48.7555,-91.6216,37.24,67,6,5.08,clear sky,2021-10-25 23:16:44
58,Yellowknife,CA,62.456,-114.3525,42.42,94,90,9.22,overcast clouds,2021-10-25 23:07:34
59,Kahului,US,20.8947,-156.47,84.22,69,20,25.32,few clouds,2021-10-25 23:16:24
60,Christchurch,NZ,-43.5333,172.6333,69.03,74,90,1.01,overcast clouds,2021-10-25 23:13:14
61,Tasiilaq,GL,65.6145,-37.6368,33.96,81,100,6.17,overcast clouds,2021-10-25 23:10:26
62,Jinchang,CN,38.4953,102.1739,42.51,64,97,2.84,overcast clouds,2021-10-25 23:16:45
63,Mar Del Plata,AR,-38.0023,-57.5575,59.02,62,0,4.0,clear sky,2021-10-25 23:11:36
64,Cape Town,ZA,-33.9258,18.4232,63.09,60,55,4.0,broken clouds,2021-10-25 23:09:12
65,Thompson,CA,55.7435,-97.8558,37.45,69,75,8.03,broken clouds,2021-10-25 23:10:56
66,Adoni,IN,15.6333,77.2833,69.57,76,2,6.71,clear sky,2021-10-25 23:16:46
67,Mareeba,AU,-17.0,145.4333,81.48,74,43,5.88,scattered clouds,2021-10-25 23:16:47
68,Chuy,UY,-33.6971,-53.4616,62.92,76,0,6.33,clear sky,2021-10-25 23:11:03
69,Jamestown,US,42.097,-79.2353,59.02,91,75,3.0,broken clouds,2021-10-25 23:06:27
70,Kavaratti,IN,10.5669,72.642,82.4,73,55,14.45,broken clouds,2021-10-25 23:10:41
71,Mnogovershinnyy,RU,53.9353,139.9242,34.21,81,48,3.58,scattered clouds,2021-10-25 23:16:47
72,Syracuse,IT,37.0881,15.2792,66.25,83,94,14.56,light rain,2021-10-25 23:16:48
73,Hasaki,JP,35.7333,140.8333,57.6,90,100,33.38,overcast clouds,2021-10-25 23:06:10
74,Avarua,CK,-21.2078,-159.775,77.05,61,75,14.97,broken clouds,2021-10-25 23:11:06
75,Khandyga,RU,62.6667,135.6,21.04,98,99,2.66,overcast clouds,2021-10-25 23:16:49
76,Kodiak,US,57.79,-152.4072,44.11,76,90,10.36,light rain,2021-10-25 23:11:00
77,Tautira,PF,-17.7333,-149.15,82.42,77,89,4.07,light rain,2021-10-25 23:11:30
78,Padang,ID,-0.9492,100.3543,75.25,87,91,3.04,overcast clouds,2021-10-25 23:11:28
79,Darhan,MN,49.4867,105.9228,32.54,78,8,8.34,clear sky,2021-10-25 23:15:38
80,Naryan-Mar,RU,67.6713,53.087,22.48,84,35,10.89,scattered clouds,2021-10-25 23:12:48
81,Bodmin,GB,50.4715,-4.7243,55.08,82,20,9.22,few clouds,2021-10-25 23:16:50
82,Lorengau,PG,-2.0226,147.2712,84.52,67,41,5.12,scattered clouds,2021-10-25 23:11:00
83,Debno,PL,52.739,14.698,43.14,82,100,6.04,overcast clouds,2021-10-25 23:16:51
84,Chapais,CA,49.7834,-74.8492,37.18,82,99,5.5,overcast clouds,2021-10-25 23:16:51
85,Castro,BR,-24.7911,-50.0119,59.34,90,58,2.93,broken clouds,2021-10-25 23:11:13
86,Khatanga,RU,71.9667,102.5,5.04,96,100,7.58,overcast clouds,2021-10-25 23:10:37
87,Messina,IT,38.1933,15.5497,64.22,90,75,1.01,broken clouds,2021-10-25 23:13:24
88,Airai,TL,-8.9266,125.4092,67.06,55,68,2.82,broken clouds,2021-10-25 23:16:10
89,San Quintin,MX,30.4833,-115.95,67.3,69,5,15.26,clear sky,2021-10-25 23:10:48
90,Clyde River,CA,70.4692,-68.5914,25.03,74,90,2.3,overcast clouds,2021-10-25 23:16:53
91,Hithadhoo,MV,-0.6,73.0833,83.05,69,79,15.97,broken clouds,2021-10-25 23:11:11
92,Leua,SK,48.2156,18.6071,42.12,65,33,6.8,scattered clouds,2021-10-25 23:16:53
93,Srednekolymsk,RU,67.45,153.6833,-5.6,98,83,4.9,broken clouds,2021-10-25 23:13:33
94,Nizwa,OM,22.9333,57.5333,77.31,47,0,3.15,clear sky,2021-10-25 23:16:54
95,Zhuhai,CN,22.2769,113.5678,75.06,78,20,16.11,few clouds,2021-10-25 23:16:06
96,Puerto Carreno,CO,6.189,-67.4859,83.61,69,98,3.91,light rain,2021-10-25 23:16:54
97,Cidreira,BR,-30.1811,-50.2056,65.43,79,0,8.08,clear sky,2021-10-25 23:11:04
98,Robertsport,LR,6.7533,-11.3686,79.07,83,99,9.28,moderate rain,2021-10-25 23:16:55
99,Ulladulla,AU,-35.35,150.4667,64.76,52,1,4.68,clear sky,2021-10-25 23:16:56
100,Kansanshi,ZM,-12.0951,26.4273,65.07,73,99,1.68,overcast clouds,2021-10-25 23:16:56
101,Tilichiki,RU,60.4667,166.1,30.22,95,100,13.78,light snow,2021-10-25 23:16:56
102,Garden City,US,42.3256,-83.331,49.95,91,90,1.99,overcast clouds,2021-10-25 23:12:52
103,Kapaa,US,22.0752,-159.319,84.18,82,90,5.01,overcast clouds,2021-10-25 23:10:44
104,Hue,VN,16.4667,107.6,71.71,94,75,2.3,mist,2021-10-25 23:16:58
105,Morro Bay,US,35.3658,-120.8499,65.5,76,18,5.99,few clouds,2021-10-25 23:16:58
106,Vila Do Maio,CV,15.1333,-23.2167,79.59,80,94,14.18,overcast clouds,2021-10-25 23:16:58
107,Nanortalik,GL,60.1432,-45.2371,34.47,61,41,7.74,scattered clouds,2021-10-25 23:11:38
108,Edd,ER,13.9297,41.6925,85.84,54,0,16.98,clear sky,2021-10-25 23:16:59
109,Cherskiy,RU,68.75,161.3,-11.36,95,99,2.19,overcast clouds,2021-10-25 23:10:55
110,Vao,NC,-22.6667,167.4833,72.45,69,42,13.4,scattered clouds,2021-10-25 23:11:26
111,Morant Bay,JM,17.8815,-76.4093,82.02,79,62,7.47,broken clouds,2021-10-25 23:17:00
112,Salym,RU,60.0625,71.4789,35.67,98,100,5.35,overcast clouds,2021-10-25 23:17:00
113,Inhambane,MZ,-23.865,35.3833,72.07,80,39,6.58,scattered clouds,2021-10-25 23:17:00
114,Isangel,VU,-19.55,169.2667,80.02,74,16,9.89,few clouds,2021-10-25 23:13:01
115,Semey,KZ,50.4111,80.2275,42.49,48,93,12.64,overcast clouds,2021-10-25 23:17:01
116,Belyy Yar,RU,53.6039,91.3903,46.29,66,0,6.71,clear sky,2021-10-25 23:13:57
117,Fairhope,US,30.523,-87.9033,81.21,66,1,0.0,clear sky,2021-10-25 23:14:38
118,Gondanglegi,ID,-7.7479,112.0132,77.72,77,78,9.08,broken clouds,2021-10-25 23:17:02
119,San Andres,CO,12.5847,-81.7006,84.22,79,20,8.05,few clouds,2021-10-25 23:17:03
120,Lumphat,KH,13.4878,106.9816,69.22,99,88,2.35,moderate rain,2021-10-25 23:17:04
121,Souillac,MU,-20.5167,57.5167,70.36,73,27,16.49,scattered clouds,2021-10-25 23:11:02
122,Butaritari,KI,3.0707,172.7902,81.63,75,7,7.05,clear sky,2021-10-25 23:11:01
123,Sitka,US,57.0531,-135.33,48.09,71,75,0.0,broken clouds,2021-10-25 23:07:01
124,Dharchula,IN,29.85,80.5333,53.83,42,0,7.56,clear sky,2021-10-25 23:17:05
125,Jijiga,ET,9.35,42.8,65.43,59,21,4.12,few clouds,2021-10-25 23:17:05
126,Hermanus,ZA,-34.4187,19.2345,61.9,85,50,14.7,scattered clouds,2021-10-25 23:06:41
127,Guerrero Negro,MX,27.9769,-114.0611,70.02,65,17,16.98,few clouds,2021-10-25 23:16:10
128,Antalaha,MG,-14.9003,50.2788,71.4,84,24,5.23,few clouds,2021-10-25 23:12:36
129,New Norfolk,AU,-42.7826,147.0587,54.66,45,21,1.66,few clouds,2021-10-25 23:06:24
130,Pevek,RU,69.7008,170.3133,-0.83,95,100,4.47,overcast clouds,2021-10-25 23:16:03
131,Medvedka,RU,61.1629,46.387,29.28,95,100,6.17,snow,2021-10-25 23:17:07
132,Arraial Do Cabo,BR,-22.9661,-42.0278,69.82,86,100,12.19,overcast clouds,2021-10-25 23:06:14
133,Manjeshwar,IN,12.7194,74.8861,76.15,89,64,4.52,broken clouds,2021-10-25 23:17:07
134,Chanute,US,37.6792,-95.4572,60.08,72,1,5.75,clear sky,2021-10-25 23:17:08
135,Katsuura,JP,35.1333,140.3,57.22,94,100,33.73,overcast clouds,2021-10-25 23:14:22
136,Fredericksburg,US,38.3032,-77.4605,68.61,86,90,0.0,overcast clouds,2021-10-25 23:15:42
137,El Real De Santa Maria,PA,8.109,-77.7325,76.51,96,98,0.72,overcast clouds,2021-10-25 23:17:08
138,Port Elizabeth,ZA,-33.918,25.5701,64.09,87,0,11.45,clear sky,2021-10-25 23:10:34
139,Shimorskoye,RU,55.3244,42.0267,31.51,70,73,11.54,broken clouds,2021-10-25 23:17:09
140,Dobryanka,RU,58.4619,56.4165,28.26,85,69,7.52,broken clouds,2021-10-25 23:17:10
141,Tolga,DZ,34.7222,5.3785,70.61,50,45,8.19,scattered clouds,2021-10-25 23:17:10
142,Urumqi,CN,43.801,87.6005,32.95,64,0,4.47,clear sky,2021-10-25 23:14:03
143,Puerto Ayora,EC,-0.7393,-90.3518,68.56,92,58,5.01,broken clouds,2021-10-25 23:10:17
144,Kyzyl-Suu,KG,42.3414,78.0056,36.46,38,0,8.03,clear sky,2021-10-25 23:17:11
145,East London,ZA,-33.0153,27.9116,64.26,82,92,12.91,light rain,2021-10-25 23:11:32
146,Perth,AU,-31.9333,115.8333,52.79,97,75,6.91,broken clouds,2021-10-25 23:15:20
147,Misratah,LY,32.3754,15.0925,72.28,65,0,10.04,clear sky,2021-10-25 23:17:12
148,Porto Walter,BR,-8.2686,-72.7439,72.43,79,100,3.6,overcast clouds,2021-10-25 23:17:12
149,San Policarpo,PH,12.1791,125.5072,80.92,80,99,9.64,light rain,2021-10-25 23:14:56
150,Poum,NC,-20.2333,164.0167,76.48,68,17,14.61,few clouds,2021-10-25 23:15:49
151,Grindavik,IS,63.8424,-22.4338,37.87,87,75,3.44,broken clouds,2021-10-25 23:14:01
152,San Antonio,US,29.4241,-98.4936,90.05,69,1,10.36,clear sky,2021-10-25 23:14:19
153,Cabo San Lucas,MX,22.8909,-109.9124,87.62,57,1,12.66,clear sky,2021-10-25 23:11:48
154,North Myrtle Beach,US,33.816,-78.68,73.69,89,20,3.0,few clouds,2021-10-25 23:17:14
155,Portland,US,45.5234,-122.6762,54.84,88,90,4.0,light rain,2021-10-25 23:12:23
156,Nikolskoye,RU,59.7035,30.7861,45.39,88,99,9.57,overcast clouds,2021-10-25 23:11:40
157,Faanui,PF,-16.4833,-151.75,75.13,89,98,7.94,moderate rain,2021-10-25 23:11:02
158,Shimoda,JP,34.6667,138.95,60.1,80,100,11.27,overcast clouds,2021-10-25 23:12:48
159,Fairbanks,US,64.8378,-147.7164,31.1,91,90,0.0,overcast clouds,2021-10-25 23:12:56
160,Nerja,ES,36.7585,-3.8873,67.23,76,100,5.21,overcast clouds,2021-10-25 23:17:15
161,Ponta Delgada,PT,37.7333,-25.6667,68.72,73,20,5.75,few clouds,2021-10-25 23:13:47
162,Karema,TZ,-6.8205,30.4389,77.29,70,97,5.59,overcast clouds,2021-10-25 23:17:16
163,Komsomolskiy,UZ,40.4272,71.7189,45.82,49,8,6.91,clear sky,2021-10-25 23:17:16
164,Eatonton,US,33.3268,-83.3885,75.38,82,65,7.47,broken clouds,2021-10-25 23:17:16
165,Moyo,UG,3.6609,31.7247,66.11,86,99,3.11,light rain,2021-10-25 23:17:17
166,Nicoya,CR,10.1483,-85.452,78.35,90,75,1.81,broken clouds,2021-10-25 23:17:17
167,Yulara,AU,-25.2406,130.9889,82.49,43,1,15.1,clear sky,2021-10-25 23:12:54
168,Nikolayevka,RU,53.1257,47.2041,28.02,79,70,5.41,broken clouds,2021-10-25 23:17:18
169,Ocean Springs,US,30.4113,-88.8278,82.42,85,1,0.0,clear sky,2021-10-25 23:17:18
170,Sosnogorsk,RU,63.6023,53.8817,24.13,88,79,3.38,broken clouds,2021-10-25 23:17:19
171,Guiyang,CN,26.5833,106.7167,54.09,87,90,2.24,overcast clouds,2021-10-25 23:17:19
172,Burgersdorp,ZA,-30.9977,26.3286,52.88,78,9,1.88,clear sky,2021-10-25 23:17:20
173,Kaele,CM,10.1092,14.4508,82.29,52,30,6.11,scattered clouds,2021-10-25 23:17:20
174,Sur,OM,22.5667,59.5289,80.02,66,0,7.45,clear sky,2021-10-25 23:17:21
175,Ndele,CF,8.4109,20.6473,74.5,87,93,1.45,overcast clouds,2021-10-25 23:17:22
176,Sioux Lookout,CA,50.1001,-91.917,39.58,81,40,4.61,scattered clouds,2021-10-25 23:17:22
177,Gejiu,CN,23.306,103.1635,50.5,96,88,2.93,overcast clouds,2021-10-25 23:17:22
178,Mehamn,NO,71.0357,27.8492,32.65,85,86,26.06,light snow,2021-10-25 23:15:58
179,Vestmannaeyjar,IS,63.4427,-20.2734,41.7,79,100,3.65,overcast clouds,2021-10-25 23:13:20
180,Karratha,AU,-20.7377,116.8463,76.17,40,3,14.27,clear sky,2021-10-25 23:16:37
181,Svrljig,RS,43.4133,22.1211,44.22,80,0,5.64,clear sky,2021-10-25 23:17:24
182,Gagatli,RU,42.8013,46.2916,25.09,86,100,4.43,light snow,2021-10-25 23:17:24
183,Quatre Cocos,MU,-20.2078,57.7625,71.71,73,23,16.69,few clouds,2021-10-25 23:17:25
184,Kropotkin,RU,45.4375,40.5756,39.49,76,23,6.11,few clouds,2021-10-25 23:17:25
185,Mackay,AU,-21.15,149.2,80.69,65,94,9.53,overcast clouds,2021-10-25 23:11:53
186,Mariental,NA,-24.6333,17.9667,69.48,22,0,3.42,clear sky,2021-10-25 23:17:25
187,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,41,12.84,scattered clouds,2021-10-25 23:11:51
188,Oistins,BB,13.0667,-59.5333,82.49,74,40,21.85,scattered clouds,2021-10-25 23:17:26
189,Aksu,CN,41.1231,80.2644,45.27,46,6,1.19,clear sky,2021-10-25 23:13:26
190,Feijo,BR,-8.1642,-70.3536,71.31,89,99,3.33,overcast clouds,2021-10-25 23:17:27
191,Ilhabela,BR,-23.7781,-45.3581,68.07,89,98,9.73,overcast clouds,2021-10-25 23:17:27
192,Rodionovo-Nesvetayskaya,RU,47.6103,39.7121,27.12,52,42,5.44,scattered clouds,2021-10-25 23:17:27
193,Srostki,RU,52.4189,85.7022,41.41,64,41,4.88,scattered clouds,2021-10-25 23:17:28
194,Ostrovnoy,RU,68.0531,39.5131,20.75,95,68,6.11,broken clouds,2021-10-25 23:14:38
195,Taikang,CN,46.8333,124.4167,41.86,59,58,7.78,broken clouds,2021-10-25 23:17:28
196,Talnakh,RU,69.4865,88.3972,15.91,95,100,6.33,light snow,2021-10-25 23:16:31
197,Fortuna,US,40.5982,-124.1573,61.93,64,75,1.01,broken clouds,2021-10-25 23:12:27
198,Severo-Kurilsk,RU,50.6789,156.125,45.25,68,3,11.01,clear sky,2021-10-25 23:16:05
199,Lithakia,GR,37.7167,20.8333,61.59,70,98,11.92,overcast clouds,2021-10-25 23:17:29
200,Shemordan,RU,56.1856,50.3972,26.38,85,78,8.41,broken clouds,2021-10-25 23:17:30
201,Asyut,EG,27.181,31.1837,68.94,51,0,8.75,clear sky,2021-10-25 23:17:31
202,Ca Mau,VN,9.1769,105.15,76.06,93,98,4.43,overcast clouds,2021-10-25 23:14:41
203,Mazagao,BR,-0.115,-51.2894,87.85,72,49,6.35,scattered clouds,2021-10-25 23:17:32
204,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,33,0,27.63,clear sky,2021-10-25 23:11:42
205,Bath,GB,51.3779,-2.3591,54.09,93,71,6.22,broken clouds,2021-10-25 23:13:34
206,Esperance,AU,-33.8667,121.9,53.44,64,63,5.1,broken clouds,2021-10-25 23:16:14
207,Takoradi,GH,4.8845,-1.7554,77.65,89,81,10.04,light rain,2021-10-25 23:17:32
208,Amurzet,RU,47.6967,131.0981,42.03,75,88,5.19,overcast clouds,2021-10-25 23:17:33
209,Lazaro Cardenas,MX,17.9583,-102.2,76.48,91,100,6.78,overcast clouds,2021-10-25 23:17:33
210,Kiruna,SE,67.8557,20.2251,22.12,100,90,0.0,snow,2021-10-25 23:13:34
211,Acapulco,MX,16.8634,-99.8901,82.22,83,90,0.0,overcast clouds,2021-10-25 23:13:43
212,Beringovskiy,RU,63.05,179.3167,13.96,72,100,5.03,overcast clouds,2021-10-25 23:11:16
213,Changchun,CN,43.88,125.3228,48.16,78,99,9.22,overcast clouds,2021-10-25 23:17:34
214,Zhigansk,RU,66.7697,123.3711,22.86,96,100,11.72,light snow,2021-10-25 23:17:35
215,Bredasdorp,ZA,-34.5322,20.0403,57.92,90,34,11.01,scattered clouds,2021-10-25 23:11:40
216,Ancud,CL,-41.8697,-73.8203,52.43,95,100,14.67,light rain,2021-10-25 23:17:35
217,Kalanguy,RU,51.0167,116.5167,26.44,90,7,3.31,clear sky,2021-10-25 23:17:36
218,Margate,GB,51.3813,1.3862,51.51,89,61,1.01,broken clouds,2021-10-25 23:12:55
219,Zharkent,KZ,44.1628,80.0,45.63,48,0,4.16,clear sky,2021-10-25 23:15:21
220,Canico,PT,32.6333,-16.85,70.43,84,75,16.11,broken clouds,2021-10-25 23:17:36
221,Shenjiamen,CN,29.9576,122.298,64.49,65,70,3.83,broken clouds,2021-10-25 23:17:37
222,Port Hardy,CA,50.6996,-127.4199,51.8,86,99,25.93,light rain,2021-10-25 23:14:44
223,Cabedelo,BR,-6.9811,-34.8339,81.27,69,71,15.99,broken clouds,2021-10-25 23:11:15
224,Sangar,RU,63.9242,127.4739,21.43,96,100,5.44,light snow,2021-10-25 23:17:37
225,Ribeira Grande,PT,38.5167,-28.7,68.38,77,52,19.51,broken clouds,2021-10-25 23:10:30
226,Niquero,CU,20.0431,-77.5828,81.54,78,69,0.47,broken clouds,2021-10-25 23:17:38
227,Batagay-Alyta,RU,67.8006,130.4114,2.08,90,100,2.91,overcast clouds,2021-10-25 23:14:23
